question	answer	source	meta
[Will Cosmos and OmiseGO compete?]	See: [Will Cosmos and OmiseGO compete?](https://kb.omgcommunity.org/kb#the-cosmos-hard-spoon-has-been-described-as-a-test-net-by-community-members-but-in-a-blog-post-you-mention-healthy-competition-can-you-clarify-this-tokens-short-term-and-long-term-purpose-i-e-where-will-volume-come-from-who-will-be-managing-promoting-it-and-is-it-something-that-will-be-supported-long-term-or-dropped-in-favor-of-plasma)	GitBookAMA	
[Will Cosmos ZOMG replace OMG?]	See: [Will Cosmos ZOMG replace OMG?](https://kb.omgcommunity.org/kb#and-to-build-on-this-question-if-its-healthy-competition-then-does-that-mean-omg-could-conceivably-be-lesser-value-than-the-cosmomg-token-is-the-market-supposed-to-work-it-out-is-in-the-cosmomg-token-supposed-to-take-the-place-of-that-omg-token)	GitBookAMA	
[Will OmiseGO create staking pools?]	See: [Will OmiseGO create staking pools?](https://kb.omgcommunity.org/kb#will-the-team-create-a-staking-pool-that-is-trustworthy-and-reliable-for-smaller-holders-to-join-if-not-will-the-team-endorse-or-officially-review-and-approve-the-smart-contract-of-at-least-one-such-staking-pool-in-order-to-help-less-technologically-inclined-stakers)	GitBookAMA	
[Will NDAs be lifted?]	See: [Will NDAs be lifted?](https://kb.omgcommunity.org/kb#will-big-ndas-ever-be-lifted-and-approximately-when-if-so)	GitBookAMA	
[Is OmiseGO partnering with a mobile messaging service?]	See: [Is OmiseGO partnering with a mobile messaging service?](https://kb.omgcommunity.org/kb#is-omg-still-or-was-it-ever-looking-towards-potentially-partnering-with-a-mobile-messaging-service-such-as-wechat-alipay-line-etc-i-know-that-these-examples-are-most-likely-not-possible-anymore-but-given-how-the-most-popular-way-to-purchase-items-and-services-in-china-asia-right-now-is-thru-these-apps-and-the-mobile-payment-industry-is-only-growing-does-omg-have-a-plan-to-tap-into-this-if-yes-are-you-able-to-comment-on-if-this-would-be-through-a-partnership-with-an-already-existing-established-brand-or-would-omg-be-looking-to-develop-something-on-its-own)	GitBookAMA	
[What transactions will Cosmos ZOMG token validate?]	See: [What transactions will Cosmos ZOMG token validate?](https://kb.omgcommunity.org/kb#what-transactions-will-the-cosmos-token-be-validating-and-will-these-transactions-be-permanent-or-will-they-be-moved-to-omgs-plasma-in-the-future)	GitBookAMA	
[How many companies are working with OMG SDK?]	See: [How many companies are working with OMG SDK?](https://kb.omgcommunity.org/kb#can-you-give-us-a-rough-number-of-the-amount-of-entities-actively-working-with-your-sdk-no-need-for-names-just-a-ballpark-figure)	GitBookAMA	
[How will OMG Network enable fiat onboarding?]	See: [How will OMG Network enable fiat onboarding?](https://kb.omgcommunity.org/kb#stellar-has-a-decentralized-exchange-that-allows-for-fiat-pairs-and-in-a-sense-is-building-a-world-currency-exchange-similar-to-omisego-however-it-sucks-there-are-no-usd-pairs-volume-is-shit-and-people-have-to-basically-trust-these-anchors-to-provide-fiat-on-the-platform-how-does-omisego-enable-easy-onboarding-of-fiat-what-does-that-process-look-like)	GitBookAMA	
[Are the conglomerates Rakuten, Mizuho, and Huawei?]	See: [Are the conglomerates Rakuten, Mizuho, and Huawei?](https://kb.omgcommunity.org/kb#are-the-3-conglomerates-rakuten-mizuho-and-huawei-blink-twice-if-the-answer-is-yes)	GitBookAMA	
[When will Omise merchants move to OMG Network?]	See: [When will Omise merchants move to OMG Network?](https://kb.omgcommunity.org/kb#at-what-point-will-omises-merchants-be-moved-over-to-the-omg-network)	GitBookAMA	
[Will there be a working product in 2018?]	See: [Will there be a working product in 2018?](https://kb.omgcommunity.org/kb#will-we-actually-see-a-working-product-in-2018-with-real-world-usage-yes-or-no-thanks-in-advance)	GitBookAMA	
[Is OmiseGO acquiring exchanges?]	See: [Is OmiseGO acquiring exchanges?](https://kb.omgcommunity.org/kb#will-these-exchange-acquisitions-be-acquisitions-where-you-control-the-business-side-but-not-actually-owning-the-exchange-like-some-strategic-partnership-or-will-omise-be-straight-up-buying-owning-these-medium-small-sized-exchanges-will-these-exchanges-be-linked-to-the-new-exchange-that-is-set-to-be-released-by-the-end-of-the-year-with-all-their-liquidity-volume-combined-or-will-they-stay-separate-until-the-dex-is-ready)	GitBookAMA	
[When can we stake ZOMG tokens on Cosmos DEX?]	See: [When can we stake ZOMG tokens on Cosmos DEX?](https://kb.omgcommunity.org/kb#when-can-we-expect-the-staking-option-on-cosmos)	GitBookAMA	
[When will OMG Network move from POA to POS phase?]	See: [When will OMG Network move from POA to POS phase?](https://kb.omgcommunity.org/kb#what-will-be-sufficient-staking-reward-for-you-to-move-from-poa-phase-to-pos-phase)	GitBookAMA	
